id;user_id;faculty;program;year_session;intake_semester;year_of_study;stay_in;status
1;3942;pixel;Officer New Hampshire Unions;Music;69742;73102;azure;STUDYING
2;94426;Shoal HTTP indexing;South Georgia and the South Sandwich Islands;Baby Money Market Account;23000;56067;Cliff;STUDYING
3;6535;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;2440;46194;Supervisor Outdoors sky blue;TRANSFERRED
4;99793;proactive;Fantastic Sleek Granite Tuna Utah;Coordinator;76827;9169;killer Russian Federation;TRANSFERRED
5;28723;paradigm Persevering Gorgeous Steel Salad;Practical Wooden Shirt whiteboard Concrete;Data open-source Generic;41758;98233;XSS Investment Account Investor;TRANSFERRED
6;94273;deposit Auto Loan Account Avon;Intelligent Cotton Bike;lavender;77958;82620;primary invoice;STUDYING
7;92775;Designer Ball;Buckinghamshire Buckinghamshire;Salad indexing Pre-emptive;22381;74787;Kids Customer;EXTENDED
8;12951;HTTP Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;25975;69571;Sleek Granite Car Integration Handcrafted;EXTENDED
9;48058;Virginia generating;payment Mayotte;optimal EXE optical;65845;24528;Pizza Fish next-generation;STUDYING
10;68014;Credit Card Account;purple SCSI Accountability;Outdoors backing up;12886;81994;Reduced Corporate;GRADUATED
